,site_name,url,title,type,description,price:amount,price:currency,image,image:secure_url,availability,kit
0,Dangkeebs,https://dangkeebs.com/products/dk-creamery-cookies-n-cream,[Pre-Order] DK Creamery - Cookies n' Cream,product,"DK Creamery's Cookies n' Cream Switches were crafted with your satisfaction in mind. We used our industry experience to source only the best molds, and ingredients for this special treat. These switches feature new specialty molds, and a medium tactility round tactile bump which extends most of the keypress. Coupled wi",4.10,USD,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/cookies-and-cream-in-spoon_1200x1200.png?v=1673592160,https://cdn.shopify.com/s/files/1/0064/2560/8282/products/cookies-and-cream-in-spoon_1200x1200.png?v=1673592160,Add to cart,Default Title
1,Dangkeebs,https://dangkeebs.com/products/banana-milk-linear,[Pre-Order] Banana Milk - Linear,product,"Banana Milk Linears are inspired by another creamy childhood treat made by infusing banana into milk. Similar to their inspiration, the switches are sure to provide creamy acoustics with minimal modifications. They're also intended to be a V2 to our beloved Blue Velvet Switches from 2021. Several improvements have been",6.20,USD,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_2730_2_1200x1200.jpg?v=1667370889,https://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_2730_2_1200x1200.jpg?v=1667370889,Add to cart,Default Title
2,Dangkeebs,https://dangkeebs.com/products/banana-milk-tactile,Banana Milk - Tactile,product,"Banana Milk Tactiles are a medium tactile inspired by another creamy childhood treat made by infusing banana into milk. Similar to their inspiration, the switches are sure to provide creamy acoustics with minimal modifications.They're also intended to be a V2 to our beloved Blue Velvet Switches from 2021. Several impro",6.80,USD,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_2730_2_545ae3c6-ae7a-4cc0-a596-5e3352038213_1200x1200.jpg?v=1675492987,https://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_2730_2_545ae3c6-ae7a-4cc0-a596-5e3352038213_1200x1200.jpg?v=1675492987,Add to cart,Default Title
3,Dangkeebs,https://dangkeebs.com/products/strawberry-milk-ice-linear,Strawberry Milk Ice - Linear,product,"Strawberry Milk Ice are the sequel to our beloved Strawberry Milk Switches. Inspired by the countless iced drinks we've had this summer - these switches feature a fully transperant housing composed of a new formula developed in collaboration with Tecsee called Ultra Clear (UC) Nylon, and a matching collectible milk bot",7.00,USD,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_2507_Final_1200x1200.jpg?v=1662709430,https://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_2507_Final_1200x1200.jpg?v=1662709430,Add to cart,Default Title
4,Dangkeebs,https://dangkeebs.com/products/strawberry-milk-ice-tactile,Strawberry Milk Ice - Tactile,product,"Strawberry Milk Ice are the sequel to our beloved Strawberry Milk Switches. Inspired by the countless iced drinks we've had this summer - these switches feature a fully transperant housing composed of a new formula developed in collaboration with Tecsee called Ultra Clear (UC) Nylon, and a matching collectible milk bot",7.00,USD,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_2507_Final_0b7a3b35-d00a-4d81-a033-00f3625f837d_1200x1200.jpg?v=1662709597,https://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_2507_Final_0b7a3b35-d00a-4d81-a033-00f3625f837d_1200x1200.jpg?v=1662709597,Add to cart,Default Title
5,Dangkeebs,https://dangkeebs.com/products/s1-peaches,S1 V2 - Peaches,product,"S1 V2 - Peaches marks KTECHS's first foray into custom mechanical switches. S1 V2 was created with the intention of pushing a clean, balanced, and pleasant sounding switch into the market coupled with elements of modern-day switch preferences. The HPE top housing prevents a sharp top-out while a proprietary blended bot",6.50,USD,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/DSC02576-2_1200x1200.jpg?v=1664690191,https://cdn.shopify.com/s/files/1/0064/2560/8282/products/DSC02576-2_1200x1200.jpg?v=1664690191,Add to cart,Default Title
6,Dangkeebs,https://dangkeebs.com/products/s2-snow,S2 V2 - Snow,product,"S2 - Snow marks Ktech's 1st pitch swing at tactile switches, just in time for the Christmas season.   S2 aims to sit in its very own place in the tactile market with a sharper tactile bump and with a 13.9mm stem compared to other market offerings, designed for prolonged usage to be a comfortable tactile to daily withou",6.50,USD,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/S2-Snow-3_1200x1200.jpg?v=1669266944,https://cdn.shopify.com/s/files/1/0064/2560/8282/products/S2-Snow-3_1200x1200.jpg?v=1669266944,Add to cart,Default Title
7,Dangkeebs,https://dangkeebs.com/products/lila-switch,Lila Switch,product,Switches are sold in packs of 10.Quantity 1 = 10 switches.Specifications: Linear Top Housing: Nylon Bottom Housing: Nylon Blend Stem: LY Blend  67g bottom-out force  Extended spring 3.7mm travel / 2.0m actuation 5 Pin (PCB mount) UN-lubed from factory Manufactured by JWK Designed by Aregs Keyboard    Sound test:    Int,7.30,USD,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/L12_QMD4_KB6ZCAKUN__0_1200x1200.jpg?v=1672611305,https://cdn.shopify.com/s/files/1/0064/2560/8282/products/L12_QMD4_KB6ZCAKUN__0_1200x1200.jpg?v=1672611305,Add to cart,Default Title
8,Dangkeebs,https://dangkeebs.com/products/viola-tricolor,Viola Tricolor,product,"Inspired by flowers, Viola Tricolors from Moyu Studio are an absolute beauty!Manufactured by Haimu, the Viola Tricolor Tactile has a lilac bottom with transparent PC top housing to better support RGB. 63.5g double-staged gold plated springs give the switch a very snappy, but light and comfortable typing experience.    ",6.60,USD,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/2_ab285d8e-24b0-436f-b3ff-59f329ff5b7c_1200x1200.webp?v=1672613313,https://cdn.shopify.com/s/files/1/0064/2560/8282/products/2_ab285d8e-24b0-436f-b3ff-59f329ff5b7c_1200x1200.webp?v=1672613313,Add to cart,Default Title
9,Dangkeebs,https://dangkeebs.com/products/blue-sky-linear,Blue Sky - Linear,product,"Blue Sky Switches feature a HPE housing, and POM stem. HPE is an updated UHMWPE blend designed to reduce the malleability of pure UHMWPE. This ensures the switches can withstand the wears of normal use while retaining other benefits of UHMWPE such as lower coefficient of friction (when compared to POM), self lubricatio",6.80,USD,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/BlueSkyLinear_1200x1200.jpg?v=1666162444,https://cdn.shopify.com/s/files/1/0064/2560/8282/products/BlueSkyLinear_1200x1200.jpg?v=1666162444,Add to cart,Default Title
10,Dangkeebs,https://dangkeebs.com/products/blue-sky-tactile,Blue Sky - Tactile,product,"Blue Sky Switches feature a HPE housing, and POM stem. HPE is an updated UHMWPE blend designed to reduce the malleability of pure UHMWPE. This ensures the switches can withstand the wears of normal use while retaining other benefits of UHMWPE such as lower coefficient of friction (when compared to POM), self lubricatio",6.80,USD,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/BlueSkyTactile-2_1200x1200.jpg?v=1666163149,https://cdn.shopify.com/s/files/1/0064/2560/8282/products/BlueSkyTactile-2_1200x1200.jpg?v=1666163149,Add to cart,Default Title
11,Dangkeebs,https://dangkeebs.com/products/wuque-studio-aurora-blue,Wuque Studio Aurora - Blue,product,"Wuque Studio Aurora Switches were originally made to complement the Ikki68 Aurora R2. The Fog/Pink/Blue variants feature the classic combination of polycarbonate top housing, nylon bottom housing, and POM stem. The Clear variant features the same top housing and stem, but an UHMWPE bottom housing.    Switches are sold ",5.00,USD,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/AuroraBlueSwitchCover_1200x1200.jpg?v=1666165393,https://cdn.shopify.com/s/files/1/0064/2560/8282/products/AuroraBlueSwitchCover_1200x1200.jpg?v=1666165393,Add to cart,Default Title
12,Dangkeebs,https://dangkeebs.com/products/wuque-studio-aurora-pink,Wuque Studio Aurora - Pink,product,"Wuque Studio Aurora Switches were originally made to complement the Ikki68 Aurora R2. The Fog/Pink/Blue variants feature the classic combination of polycarbonate top housing, nylon bottom housing, and POM stem. The Clear variant features the same top housing and stem, but an UHMWPE bottom housing.    Switches are sold ",5.00,USD,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/AuroraPinkSwitchCover_1200x1200.jpg?v=1666165462,https://cdn.shopify.com/s/files/1/0064/2560/8282/products/AuroraPinkSwitchCover_1200x1200.jpg?v=1666165462,Add to cart,Default Title
13,Dangkeebs,https://dangkeebs.com/products/wuque-studio-aurora-fog,Wuque Studio Aurora - Fog,product,"Wuque Studio Aurora Switches were originally made to complement the Ikki68 Aurora R2. The Fog/Pink/Blue variants feature the classic combination of polycarbonate top housing, nylon bottom housing, and POM stem. The Clear variant features the same top housing and stem, but an UHMWPE bottom housing.    Switches are sold ",5.00,USD,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/AuroraFogSwitchCover_1200x1200.jpg?v=1666165442,https://cdn.shopify.com/s/files/1/0064/2560/8282/products/AuroraFogSwitchCover_1200x1200.jpg?v=1666165442,Add to cart,Default Title
14,Dangkeebs,https://dangkeebs.com/products/wuque-studio-aurora-clear,Wuque Studio Aurora - Clear,product,"Wuque Studio Aurora Switches were originally made to complement the Ikki68 Aurora R2. The Fog/Pink/Blue variants feature the classic combination of polycarbonate top housing, nylon bottom housing, and POM stem. The Clear variant features the same top housing and stem, but an UHMWPE bottom housing.    Switches are sold ",5.00,USD,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/AuroraClearSwitchCover_1200x1200.jpg?v=1666165410,https://cdn.shopify.com/s/files/1/0064/2560/8282/products/AuroraClearSwitchCover_1200x1200.jpg?v=1666165410,Add to cart,Default Title
15,Dangkeebs,https://dangkeebs.com/products/gateron-ks-9-pro-2-0-brown,Gateron KS-9 Pro 2.0 - Brown,product,Gateron KS-9 Pro 2.0 - Brown are the most recent update to Gateron's popular brown switches. They feature improved molds with better tolerances and smoothness. The top housing is now clear with a light guide dome to assist with RGB diffusion. The switches are lightly pre-lubed from factory for a solid experience withou,2.30,USD,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_3048Cover_1200x1200.jpg?v=1673500083,https://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_3048Cover_1200x1200.jpg?v=1673500083,Add to cart,Default Title
16,Dangkeebs,https://dangkeebs.com/products/gateron-ks-9-pro-2-0-yellow,Gateron KS-9 Pro 2.0 - Yellow,product,Gateron KS-9 Pro 2.0 - Yellow are the most recent update to Gateron's popular yellow switches. They feature improved molds with better tolerances and smoothness. The top housing is now clear with a light guide dome to assist with RGB diffusion. The switches are lightly pre-lubed from factory for a solid experience with,2.30,USD,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_2613_1200x1200.jpg?v=1664691503,https://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_2613_1200x1200.jpg?v=1664691503,Add to cart,Default Title
17,Dangkeebs,https://dangkeebs.com/products/gateron-ks-9-pro-2-0-black,Gateron KS-9 Pro 2.0 - Black,product,Gateron KS-9 Pro 2.0 - Black are the most recent update to Gateron's popular black switches. They feature improved molds with better tolerances and smoothness. The top housing is now clear with a light guide dome to assist with RGB diffusion. The switches are lightly pre-lubed from factory for a solid experience withou,2.30,USD,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_2994-2_1200x1200.jpg?v=1672611816,https://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_2994-2_1200x1200.jpg?v=1672611816,Add to cart,Default Title
18,Dangkeebs,https://dangkeebs.com/products/builtbynim-bbn-tactile-switch,BuiltByNim (BBN) Tactile Switch,product,BuiltByNim Tactile Switches are specifically designed and manufactured to incorporate a unique sound profile and feel.   Switches are sold in packs of 10. Quantity 1 = 10 switches.  Specifications: Tactile Stem: Polyoxymethylene (POM) lengthened stem Top Housing: Custom nylon blend BBN top housing Bottom Housing: Polyc,7.50,USD,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/BBN_Tactile_Row_1200x1200.png?v=1663388135,https://cdn.shopify.com/s/files/1/0064/2560/8282/products/BBN_Tactile_Row_1200x1200.png?v=1663388135,Add to cart,Default Title
